#Study : 1. Visualization Study 99min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Date : 20180125 11:32:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Version : 7.0.9895.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TestRunDate : 20170609 14:11:17.825 (-07:00),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Tracker : Model-Tobii X3 @120Hz, Freq-120Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1080}, Distance(Resp)-70cm ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FixationSeq,FixationX,FixationY,FixationStart,FixationDuration
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
1,962,426,443,110
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
2,992,437,1118,191
